interaction_id,date,agent,channel,country,contact_reason,resolution,aht_seconds,csat,satisfaction,week,csat_positive,dsat
INT-0284,2026-07-02,Agent 017,Chat,Spain,Order Status,Resolved,365,3,Neutral,27,0,0
INT-0158,2026-07-02,Agent 009,Chat,Spain,Order Status,Resolved,216,5,Satisfied,27,1,0
INT-0878,2026-07-02,Agent 015,Call,Spain,Order Cancellation,Resolved,626,5,Satisfied,27,1,0
INT-0613,2026-07-02,Agent 018,Chat,Spain,Late Delivery,Not Resolved,672,2,Dissatisfied,27,0,1
INT-0491,2026-07-02,Agent 001,Email,Portugal,Order Status,Not Resolved,283,2,Dissatisfied,27,0,1
INT-0762,2026-07-02,Agent 007,Email,Spain,Account Issue,Partially Resolved,287,4,Satisfied,27,1,0
INT-0408,2026-07-02,Agent 001,Email,Spain,Order Cancellation,Resolved,419,2,Dissatisfied,27,0,1
INT-0322,2026-07-02,Agent 003,Email,Portugal,Missing Items,Resolved,583,3,Neutral,27,0,0
INT-0932,2026-07-02,Agent 011,Chat,Spain,Order Cancellation,Partially Resolved,314,4,Satisfied,27,1,0
INT-0466,2026-07-03,Agent 006,Chat,Spain,Order Cancellation,Resolved,531,4,Satisfied,27,1,0
INT-0480,2026-07-03,Agent 006,Chat,Portugal,Wrong Order,Resolved,648,5,Satisfied,27,1,0
INT-0867,2026-07-03,Agent 008,Chat,Spain,Late Delivery,Not Resolved,324,2,Dissatisfied,27,0,1
INT-0719,2026-07-03,Agent 008,Chat,Spain,Refund Request,Resolved,502,5,Satisfied,27,1,0
INT-0883,2026-07-03,Agent 003,Chat,Spain,Refund Request,Resolved,451,5,Satisfied,27,1,0
INT-0448,2026-07-03,Agent 002,Chat,Spain,Delivery Instructions,Resolved,542,3,Neutral,27,0,0
INT-0275,2026-07-03,Agent 003,Call,Spain,Delivery Instructions,Partially Resolved,518,4,Satisfied,27,1,0
INT-0753,2026-07-03,Agent 020,Call,Spain,Delivery Instructions,Resolved,411,4,Satisfied,27,1,0
INT-0981,2026-07-03,Agent 014,Call,Spain,Missing Items,Partially Resolved,480,3,Neutral,27,0,0
INT-0258,2026-07-03,Agent 016,Chat,Spain,Order Status,Partially Resolved,277,3,Neutral,27,0,0
INT-0252,2026-07-03,Agent 013,Chat,Italy,Order Status,Resolved,275,5,Satisfied,27,1,0
INT-0239,2026-07-03,Agent 017,Chat,Portugal,Missing Items,Resolved,521,3,Neutral,27,0,0
INT-0214,2026-07-03,Agent 015,Chat,Spain,Promotion Issue,Partially Resolved,501,3,Neutral,27,0,0
INT-0058,2026-07-03,Agent 003,Email,Italy,Order Status,Resolved,309,5,Satisfied,27,1,0
INT-0697,2026-07-03,Agent 008,Call,Italy,Order Status,Resolved,234,5,Satisfied,27,1,0
INT-0706,2026-07-04,Agent 010,Chat,Spain,Order Status,Resolved,543,4,Satisfied,27,1,0
INT-0918,2026-07-04,Agent 013,Call,Italy,Order Cancellation,Partially Resolved,840,3,Neutral,27,0,0
INT-0704,2026-07-04,Agent 010,Chat,Spain,Refund Request,Resolved,806,4,Satisfied,27,1,0
INT-0669,2026-07-04,Agent 004,Chat,Spain,Late Delivery,Not Resolved,608,2,Dissatisfied,27,0,1
INT-0859,2026-07-04,Agent 017,Chat,Spain,Order Status,Resolved,364,5,Satisfied,27,1,0
INT-0583,2026-07-04,Agent 015,Chat,Italy,Order Cancellation,Resolved,523,5,Satisfied,27,1,0
INT-0880,2026-07-04,Agent 011,Call,Spain,Payment Issue,Resolved,609,5,Satisfied,27,1,0
INT-0103,2026-07-04,Agent 005,Chat,Spain,Wrong Order,Resolved,249,3,Neutral,27,0,0
INT-0816,2026-07-04,Agent 020,Chat,Spain,Missing Items,Not Resolved,430,3,Neutral,27,0,0
INT-0787,2026-07-04,Agent 020,Call,Spain,Order Cancellation,Resolved,729,5,Satisfied,27,1,0
INT-0449,2026-07-04,Agent 015,Chat,Spain,Account Issue,Not Resolved,290,2,Dissatisfied,27,0,1
INT-0856,2026-07-04,Agent 010,Chat,Spain,Order Status,Resolved,440,5,Satisfied,27,1,0
INT-0100,2026-07-04,Agent 012,Chat,Portugal,Refund Request,Resolved,749,5,Satisfied,27,1,0
INT-0063,2026-07-04,Agent 004,Call,Spain,Missing Items,Resolved,472,3,Neutral,27,0,0
INT-0598,2026-07-05,Agent 009,Chat,Spain,Order Status,Resolved,409,4,Satisfied,27,1,0
INT-0635,2026-07-05,Agent 001,Chat,Spain,Promotion Issue,Resolved,500,4,Satisfied,27,1,0
INT-0714,2026-07-05,Agent 001,Call,Spain,Payment Issue,Resolved,591,3,Neutral,27,0,0
INT-0895,2026-07-05,Agent 007,Call,Spain,Order Status,Resolved,290,5,Satisfied,27,1,0
INT-0881,2026-07-05,Agent 006,Chat,Spain,Order Cancellation,Resolved,415,4,Satisfied,27,1,0
INT-0457,2026-07-05,Agent 007,Call,Spain,Order Status,Resolved,331,5,Satisfied,27,1,0
INT-0385,2026-07-05,Agent 005,Chat,Spain,Account Issue,Resolved,357,5,Satisfied,27,1,0
INT-0868,2026-07-05,Agent 016,Chat,Spain,Order Status,Not Resolved,370,3,Neutral,27,0,0
INT-0075,2026-07-05,Agent 020,Call,Portugal,Order Status,Resolved,257,4,Satisfied,27,1,0
INT-0184,2026-07-05,Agent 008,Call,Spain,Wrong Order,Resolved,535,5,Satisfied,27,1,0
INT-0846,2026-07-05,Agent 004,Chat,Spain,Order Cancellation,Resolved,434,4,Satisfied,27,1,0
INT-0682,2026-07-05,Agent 009,Chat,Spain,Refund Request,Partially Resolved,510,2,Dissatisfied,27,0,1
INT-0237,2026-07-05,Agent 005,Chat,Spain,Late Delivery,Partially Resolved,524,1,Dissatisfied,27,0,1
INT-0267,2026-07-05,Agent 012,Call,Spain,Account Issue,Resolved,477,5,Satisfied,27,1,0
INT-0898,2026-07-05,Agent 005,Chat,Spain,Delivery Instructions,Resolved,300,4,Satisfied,27,1,0
INT-0863,2026-07-05,Agent 004,Call,Spain,Order Cancellation,Resolved,332,3,Neutral,27,0,0
INT-0732,2026-07-05,Agent 007,Chat,Italy,Order Status,Resolved,451,5,Satisfied,27,1,0
INT-0047,2026-07-05,Agent 006,Call,Portugal,Late Delivery,Resolved,693,4,Satisfied,27,1,0
INT-0589,2026-07-05,Agent 009,Chat,Spain,Wrong Order,Resolved,626,4,Satisfied,27,1,0
INT-0542,2026-07-05,Agent 006,Chat,Spain,Order Cancellation,Resolved,555,4,Satisfied,27,1,0
INT-0073,2026-07-05,Agent 006,Chat,Spain,Wrong Order,Partially Resolved,664,3,Neutral,27,0,0
INT-0236,2026-07-06,Agent 004,Chat,Spain,Payment Issue,Resolved,327,3,Neutral,28,0,0
INT-0649,2026-07-06,Agent 018,Chat,Spain,Missing Items,Resolved,439,4,Satisfied,28,1,0
INT-0437,2026-07-06,Agent 013,Call,Spain,Missing Items,Resolved,557,2,Dissatisfied,28,0,1
INT-0368,2026-07-06,Agent 009,Chat,Portugal,Order Status,Resolved,457,5,Satisfied,28,1,0
INT-0389,2026-07-06,Agent 012,Chat,Spain,Refund Request,Resolved,582,5,Satisfied,28,1,0
INT-0492,2026-07-06,Agent 016,Call,Spain,Wrong Order,Resolved,642,4,Satisfied,28,1,0
INT-0526,2026-07-06,Agent 004,Chat,Spain,Account Issue,Resolved,498,4,Satisfied,28,1,0
INT-0993,2026-07-06,Agent 019,Chat,Spain,Missing Items,Partially Resolved,672,1,Dissatisfied,28,0,1
INT-0523,2026-07-06,Agent 004,Call,Spain,Order Status,Resolved,369,3,Neutral,28,0,0
INT-0332,2026-07-06,Agent 014,Chat,Portugal,Order Cancellation,Resolved,612,4,Satisfied,28,1,0
INT-0397,2026-07-06,Agent 012,Chat,Spain,Late Delivery,Not Resolved,353,3,Neutral,28,0,0
INT-0778,2026-07-06,Agent 001,Chat,Spain,Refund Request,Not Resolved,773,2,Dissatisfied,28,0,1
INT-0393,2026-07-06,Agent 014,Chat,Portugal,Order Status,Not Resolved,435,3,Neutral,28,0,0
INT-0957,2026-07-06,Agent 011,Chat,Spain,Order Status,Resolved,412,3,Neutral,28,0,0
INT-0742,2026-07-06,Agent 005,Chat,Portugal,Wrong Order,Resolved,550,3,Neutral,28,0,0
INT-0745,2026-07-06,Agent 010,Chat,Spain,Delivery Instructions,Resolved,375,5,Satisfied,28,1,0
INT-0243,2026-07-07,Agent 006,Email,Portugal,Wrong Order,Resolved,399,4,Satisfied,28,1,0
INT-0210,2026-07-07,Agent 010,Chat,Spain,Wrong Order,Resolved,558,1,Dissatisfied,28,0,1
INT-0648,2026-07-07,Agent 004,Email,Spain,Missing Items,Resolved,373,3,Neutral,28,0,0
INT-0161,2026-07-07,Agent 002,Call,Portugal,Missing Items,Not Resolved,499,2,Dissatisfied,28,0,1
INT-0860,2026-07-07,Agent 018,Chat,Spain,Order Status,Resolved,346,5,Satisfied,28,1,0
INT-0165,2026-07-07,Agent 001,Chat,Spain,Order Status,Resolved,360,4,Satisfied,28,1,0
INT-0176,2026-07-07,Agent 009,Call,Spain,Refund Request,Resolved,977,3,Neutral,28,0,0
INT-0864,2026-07-07,Agent 005,Chat,Spain,Order Cancellation,Partially Resolved,301,1,Dissatisfied,28,0,1
INT-0870,2026-07-07,Agent 006,Chat,Spain,Order Status,Resolved,341,2,Dissatisfied,28,0,1
INT-0800,2026-07-07,Agent 015,Chat,Spain,Wrong Order,Resolved,414,4,Satisfied,28,1,0
INT-0391,2026-07-07,Agent 002,Chat,Italy,Wrong Order,Partially Resolved,753,2,Dissatisfied,28,0,1
INT-0345,2026-07-07,Agent 002,Call,Spain,Refund Request,Not Resolved,995,1,Dissatisfied,28,0,1
INT-0336,2026-07-07,Agent 018,Chat,Spain,Promotion Issue,Resolved,542,5,Satisfied,28,1,0
INT-0768,2026-07-07,Agent 016,Chat,Spain,Payment Issue,Partially Resolved,443,3,Neutral,28,0,0
INT-0317,2026-07-07,Agent 007,Call,Spain,Refund Request,Resolved,802,4,Satisfied,28,1,0
INT-0999,2026-07-07,Agent 020,Email,Italy,Account Issue,Resolved,390,4,Satisfied,28,1,0
INT-0489,2026-07-07,Agent 018,Chat,Spain,Delivery Instructions,Resolved,330,3,Neutral,28,0,0
INT-0937,2026-07-07,Agent 005,Chat,Spain,Refund Request,Resolved,759,5,Satisfied,28,1,0
INT-0087,2026-07-07,Agent 020,Chat,Spain,Missing Items,Resolved,411,5,Satisfied,28,1,0
INT-0238,2026-07-08,Agent 016,Chat,Italy,Late Delivery,Partially Resolved,396,3,Neutral,28,0,0
INT-0759,2026-07-08,Agent 014,Chat,Spain,Order Cancellation,Partially Resolved,591,4,Satisfied,28,1,0
INT-0659,2026-07-08,Agent 001,Call,Spain,Payment Issue,Resolved,726,3,Neutral,28,0,0
INT-0470,2026-07-08,Agent 019,Chat,Italy,Order Status,Resolved,319,4,Satisfied,28,1,0
INT-0414,2026-07-08,Agent 010,Call,Spain,Order Cancellation,Resolved,472,5,Satisfied,28,1,0
INT-0576,2026-07-08,Agent 008,Call,Portugal,Wrong Order,Resolved,873,3,Neutral,28,0,0
INT-0517,2026-07-08,Agent 017,Call,Spain,Refund Request,Resolved,667,4,Satisfied,28,1,0
INT-0062,2026-07-08,Agent 003,Call,Spain,Late Delivery,Resolved,764,3,Neutral,28,0,0
INT-0767,2026-07-08,Agent 012,Call,Portugal,Order Status,Resolved,221,4,Satisfied,28,1,0
INT-0855,2026-07-08,Agent 017,Email,Portugal,Promotion Issue,Resolved,347,4,Satisfied,28,1,0
INT-0412,2026-07-08,Agent 008,Email,Italy,Order Status,Resolved,379,5,Satisfied,28,1,0
INT-0911,2026-07-08,Agent 007,Chat,Spain,Order Status,Partially Resolved,255,3,Neutral,28,0,0
INT-0016,2026-07-08,Agent 010,Chat,Spain,Missing Items,Resolved,493,4,Satisfied,28,1,0
INT-0112,2026-07-08,Agent 013,Chat,Spain,Promotion Issue,Resolved,346,5,Satisfied,28,1,0
INT-0975,2026-07-08,Agent 008,Chat,Spain,Delivery Instructions,Resolved,345,3,Neutral,28,0,0
INT-0737,2026-07-08,Agent 018,Call,Italy,Order Cancellation,Resolved,457,4,Satisfied,28,1,0
INT-0339,2026-07-08,Agent 001,Call,Portugal,Missing Items,Resolved,365,4,Satisfied,28,1,0
INT-0215,2026-07-08,Agent 015,Call,Italy,Refund Request,Resolved,731,4,Satisfied,28,1,0
INT-0050,2026-07-09,Agent 012,Chat,Spain,Promotion Issue,Resolved,313,4,Satisfied,28,1,0
INT-0886,2026-07-09,Agent 004,Call,Spain,Order Cancellation,Resolved,373,4,Satisfied,28,1,0
INT-0577,2026-07-09,Agent 016,Call,Spain,Promotion Issue,Resolved,436,3,Neutral,28,0,0
INT-0689,2026-07-09,Agent 019,Call,Spain,Refund Request,Resolved,642,3,Neutral,28,0,0
INT-0770,2026-07-09,Agent 013,Chat,Italy,Payment Issue,Resolved,480,4,Satisfied,28,1,0
INT-0402,2026-07-09,Agent 005,Chat,Spain,Missing Items,Partially Resolved,449,1,Dissatisfied,28,0,1
INT-0467,2026-07-09,Agent 009,Call,Spain,Refund Request,Resolved,701,3,Neutral,28,0,0
INT-0869,2026-07-09,Agent 014,Call,Spain,Order Status,Resolved,413,4,Satisfied,28,1,0
INT-0503,2026-07-09,Agent 007,Call,Spain,Refund Request,Partially Resolved,849,2,Dissatisfied,28,0,1
INT-0331,2026-07-09,Agent 012,Chat,Spain,Order Status,Resolved,120,5,Satisfied,28,1,0
INT-0802,2026-07-09,Agent 009,Chat,Spain,Order Cancellation,Resolved,431,4,Satisfied,28,1,0
INT-0944,2026-07-09,Agent 012,Call,Italy,Promotion Issue,Resolved,443,4,Satisfied,28,1,0
INT-0418,2026-07-09,Agent 017,Chat,Spain,Order Status,Not Resolved,370,1,Dissatisfied,28,0,1
INT-0218,2026-07-10,Agent 002,Chat,Spain,Refund Request,Resolved,616,3,Neutral,28,0,0
INT-0739,2026-07-10,Agent 002,Chat,Spain,Wrong Order,Resolved,584,4,Satisfied,28,1,0
INT-0038,2026-07-10,Agent 006,Chat,Spain,Late Delivery,Not Resolved,469,2,Dissatisfied,28,0,1
INT-0797,2026-07-10,Agent 009,Chat,Portugal,Missing Items,Resolved,450,5,Satisfied,28,1,0
INT-0366,2026-07-10,Agent 013,Chat,Spain,Order Status,Partially Resolved,360,4,Satisfied,28,1,0
INT-0143,2026-07-10,Agent 019,Chat,Spain,Wrong Order,Resolved,529,4,Satisfied,28,1,0
INT-0508,2026-07-10,Agent 002,Chat,Portugal,Payment Issue,Resolved,802,5,Satisfied,28,1,0
INT-0105,2026-07-10,Agent 001,Chat,Spain,Missing Items,Resolved,592,5,Satisfied,28,1,0
INT-0463,2026-07-10,Agent 014,Chat,Spain,Order Status,Resolved,410,3,Neutral,28,0,0
INT-0623,2026-07-10,Agent 012,Email,Spain,Late Delivery,Resolved,375,5,Satisfied,28,1,0
INT-0109,2026-07-10,Agent 003,Email,Spain,Order Status,Resolved,317,5,Satisfied,28,1,0
INT-0373,2026-07-10,Agent 009,Email,Spain,Late Delivery,Not Resolved,603,1,Dissatisfied,28,0,1
INT-0782,2026-07-10,Agent 012,Chat,Spain,Late Delivery,Resolved,460,5,Satisfied,28,1,0
INT-0114,2026-07-10,Agent 012,Call,Spain,Missing Items,Resolved,855,4,Satisfied,28,1,0
INT-0119,2026-07-10,Agent 009,Call,Spain,Missing Items,Partially Resolved,761,2,Dissatisfied,28,0,1
INT-0803,2026-07-10,Agent 003,Chat,Portugal,Payment Issue,Not Resolved,684,3,Neutral,28,0,0
INT-0798,2026-07-11,Agent 013,Chat,Spain,Delivery Instructions,Resolved,324,4,Satisfied,28,1,0
INT-0276,2026-07-11,Agent 009,Chat,Spain,Delivery Instructions,Resolved,401,3,Neutral,28,0,0
INT-0269,2026-07-11,Agent 001,Chat,Spain,Late Delivery,Partially Resolved,245,2,Dissatisfied,28,0,1
INT-0220,2026-07-11,Agent 007,Chat,Spain,Order Status,Resolved,404,4,Satisfied,28,1,0
INT-0676,2026-07-11,Agent 009,Chat,Spain,Account Issue,Not Resolved,405,2,Dissatisfied,28,0,1
INT-0253,2026-07-11,Agent 010,Chat,Spain,Delivery Instructions,Resolved,274,5,Satisfied,28,1,0
INT-0686,2026-07-11,Agent 007,Call,Portugal,Account Issue,Resolved,366,5,Satisfied,28,1,0
INT-0250,2026-07-11,Agent 019,Chat,Italy,Late Delivery,Resolved,580,3,Neutral,28,0,0
INT-0822,2026-07-11,Agent 003,Chat,Portugal,Late Delivery,Resolved,575,4,Satisfied,28,1,0
INT-0390,2026-07-11,Agent 005,Chat,Spain,Late Delivery,Resolved,472,3,Neutral,28,0,0
INT-0382,2026-07-11,Agent 006,Chat,Spain,Order Cancellation,Resolved,642,3,Neutral,28,0,0
INT-0173,2026-07-11,Agent 007,Chat,Spain,Late Delivery,Resolved,518,4,Satisfied,28,1,0
INT-0477,2026-07-11,Agent 014,Chat,Spain,Wrong Order,Resolved,513,5,Satisfied,28,1,0
INT-0943,2026-07-11,Agent 007,Chat,Spain,Delivery Instructions,Resolved,371,4,Satisfied,28,1,0
INT-0610,2026-07-11,Agent 012,Call,Spain,Order Status,Resolved,326,3,Neutral,28,0,0
INT-0054,2026-07-11,Agent 012,Email,Italy,Order Status,Resolved,224,5,Satisfied,28,1,0
INT-0865,2026-07-11,Agent 020,Chat,Spain,Missing Items,Resolved,656,2,Dissatisfied,28,0,1
INT-0906,2026-07-12,Agent 018,Call,Spain,Missing Items,Partially Resolved,549,4,Satisfied,28,1,0
INT-0137,2026-07-12,Agent 020,Chat,Spain,Order Cancellation,Resolved,452,4,Satisfied,28,1,0
INT-0575,2026-07-12,Agent 014,Chat,Spain,Refund Request,Resolved,624,3,Neutral,28,0,0
INT-0887,2026-07-12,Agent 005,Email,Spain,Account Issue,Resolved,435,4,Satisfied,28,1,0
INT-0938,2026-07-12,Agent 020,Call,Spain,Order Status,Resolved,403,5,Satisfied,28,1,0
INT-0108,2026-07-12,Agent 004,Email,Spain,Payment Issue,Resolved,357,4,Satisfied,28,1,0
INT-0312,2026-07-12,Agent 017,Chat,Spain,Order Status,Resolved,295,4,Satisfied,28,1,0
INT-0278,2026-07-12,Agent 012,Call,Spain,Order Status,Not Resolved,364,2,Dissatisfied,28,0,1
INT-0424,2026-07-12,Agent 002,Call,Spain,Late Delivery,Resolved,625,5,Satisfied,28,1,0
INT-0208,2026-07-12,Agent 014,Call,Spain,Payment Issue,Resolved,642,5,Satisfied,28,1,0
INT-0726,2026-07-12,Agent 013,Call,Portugal,Delivery Instructions,Resolved,424,5,Satisfied,28,1,0
INT-0998,2026-07-12,Agent 003,Chat,Portugal,Refund Request,Resolved,967,4,Satisfied,28,1,0
INT-0118,2026-07-12,Agent 012,Chat,Spain,Delivery Instructions,Resolved,540,4,Satisfied,28,1,0
INT-0439,2026-07-12,Agent 018,Chat,Italy,Wrong Order,Partially Resolved,623,2,Dissatisfied,28,0,1
INT-0025,2026-07-12,Agent 004,Chat,Spain,Promotion Issue,Resolved,432,3,Neutral,28,0,0
INT-0728,2026-07-12,Agent 006,Chat,Spain,Order Status,Not Resolved,211,2,Dissatisfied,28,0,1
INT-0354,2026-07-12,Agent 009,Chat,Spain,Late Delivery,Partially Resolved,469,2,Dissatisfied,28,0,1
INT-0637,2026-07-12,Agent 003,Chat,Spain,Late Delivery,Resolved,743,4,Satisfied,28,1,0
INT-0609,2026-07-13,Agent 002,Email,Spain,Order Status,Not Resolved,249,3,Neutral,29,0,0
INT-0434,2026-07-13,Agent 004,Call,Spain,Order Status,Resolved,440,4,Satisfied,29,1,0
INT-0342,2026-07-13,Agent 005,Call,Spain,Delivery Instructions,Partially Resolved,488,2,Dissatisfied,29,0,1
INT-0224,2026-07-13,Agent 016,Chat,Portugal,Order Cancellation,Resolved,340,3,Neutral,29,0,0
INT-0167,2026-07-13,Agent 011,Chat,Portugal,Order Status,Resolved,475,5,Satisfied,29,1,0
INT-0388,2026-07-13,Agent 012,Chat,Spain,Order Status,Resolved,335,4,Satisfied,29,1,0
INT-0197,2026-07-13,Agent 015,Chat,Spain,Order Status,Not Resolved,267,3,Neutral,29,0,0
INT-0924,2026-07-13,Agent 003,Call,Spain,Order Cancellation,Resolved,518,4,Satisfied,29,1,0
INT-0195,2026-07-13,Agent 009,Chat,Portugal,Order Status,Resolved,190,5,Satisfied,29,1,0
INT-0406,2026-07-13,Agent 015,Call,Spain,Payment Issue,Resolved,545,5,Satisfied,29,1,0
INT-0244,2026-07-13,Agent 007,Email,Spain,Payment Issue,Resolved,517,4,Satisfied,29,1,0
INT-0338,2026-07-14,Agent 013,Chat,Spain,Refund Request,Resolved,250,2,Dissatisfied,29,0,1
INT-0226,2026-07-14,Agent 004,Chat,Spain,Account Issue,Resolved,327,5,Satisfied,29,1,0
INT-0765,2026-07-14,Agent 012,Chat,Spain,Late Delivery,Resolved,612,4,Satisfied,29,1,0
INT-0099,2026-07-14,Agent 012,Chat,Spain,Refund Request,Resolved,694,2,Dissatisfied,29,0,1
INT-0192,2026-07-14,Agent 017,Chat,Spain,Wrong Order,Resolved,520,5,Satisfied,29,1,0
INT-0955,2026-07-14,Agent 016,Chat,Spain,Missing Items,Resolved,580,5,Satisfied,29,1,0
INT-0973,2026-07-14,Agent 003,Chat,Spain,Order Status,Resolved,433,5,Satisfied,29,1,0
INT-0892,2026-07-14,Agent 020,Chat,Spain,Payment Issue,Resolved,373,4,Satisfied,29,1,0
INT-0817,2026-07-14,Agent 003,Call,Spain,Payment Issue,Resolved,683,5,Satisfied,29,1,0
INT-0621,2026-07-14,Agent 004,Chat,Portugal,Refund Request,Resolved,591,3,Neutral,29,0,0
INT-0646,2026-07-14,Agent 002,Email,Spain,Refund Request,Partially Resolved,521,3,Neutral,29,0,0
INT-0978,2026-07-14,Agent 004,Call,Spain,Delivery Instructions,Resolved,632,3,Neutral,29,0,0
INT-0394,2026-07-14,Agent 016,Chat,Spain,Promotion Issue,Partially Resolved,437,4,Satisfied,29,1,0
INT-0026,2026-07-14,Agent 018,Email,Spain,Wrong Order,Partially Resolved,504,3,Neutral,29,0,0
INT-0535,2026-07-14,Agent 014,Chat,Spain,Refund Request,Resolved,513,3,Neutral,29,0,0
INT-0326,2026-07-14,Agent 007,Chat,Spain,Refund Request,Resolved,810,3,Neutral,29,0,0
INT-0266,2026-07-15,Agent 020,Chat,Italy,Refund Request,Resolved,483,5,Satisfied,29,1,0
INT-0963,2026-07-15,Agent 017,Chat,Spain,Delivery Instructions,Resolved,548,4,Satisfied,29,1,0
INT-0507,2026-07-15,Agent 007,Call,Spain,Wrong Order,Partially Resolved,698,3,Neutral,29,0,0
INT-0843,2026-07-15,Agent 014,Chat,Spain,Order Cancellation,Resolved,529,3,Neutral,29,0,0
INT-0157,2026-07-15,Agent 003,Chat,Portugal,Order Status,Partially Resolved,263,5,Satisfied,29,1,0
INT-0163,2026-07-15,Agent 015,Call,Portugal,Late Delivery,Resolved,459,5,Satisfied,29,1,0
INT-0234,2026-07-15,Agent 006,Chat,Portugal,Order Status,Resolved,232,5,Satisfied,29,1,0
INT-0799,2026-07-15,Agent 009,Call,Spain,Delivery Instructions,Resolved,537,5,Satisfied,29,1,0
INT-0129,2026-07-15,Agent 006,Email,Spain,Wrong Order,Resolved,491,2,Dissatisfied,29,0,1
INT-0299,2026-07-15,Agent 013,Call,Spain,Refund Request,Partially Resolved,722,2,Dissatisfied,29,0,1
INT-0051,2026-07-15,Agent 012,Chat,Italy,Wrong Order,Partially Resolved,580,4,Satisfied,29,1,0
INT-0912,2026-07-15,Agent 008,Call,Spain,Delivery Instructions,Resolved,413,3,Neutral,29,0,0
INT-0641,2026-07-15,Agent 007,Chat,Spain,Order Cancellation,Resolved,473,5,Satisfied,29,1,0
INT-0925,2026-07-15,Agent 009,Call,Spain,Missing Items,Resolved,830,5,Satisfied,29,1,0
INT-0926,2026-07-15,Agent 002,Chat,Spain,Refund Request,Resolved,906,4,Satisfied,29,1,0
INT-0988,2026-07-15,Agent 011,Chat,Spain,Order Status,Resolved,326,4,Satisfied,29,1,0
INT-0828,2026-07-15,Agent 002,Chat,Portugal,Missing Items,Resolved,806,4,Satisfied,29,1,0
INT-0524,2026-07-15,Agent 013,Email,Spain,Payment Issue,Resolved,684,5,Satisfied,29,1,0
INT-0059,2026-07-16,Agent 005,Call,Spain,Delivery Instructions,Partially Resolved,587,4,Satisfied,29,1,0
INT-0263,2026-07-16,Agent 019,Call,Spain,Payment Issue,Partially Resolved,608,1,Dissatisfied,29,0,1
INT-0905,2026-07-16,Agent 006,Chat,Spain,Missing Items,Resolved,618,4,Satisfied,29,1,0
INT-0794,2026-07-16,Agent 013,Call,Italy,Wrong Order,Resolved,746,3,Neutral,29,0,0
INT-0512,2026-07-16,Agent 005,Chat,Spain,Wrong Order,Resolved,466,4,Satisfied,29,1,0
INT-0072,2026-07-16,Agent 007,Email,Portugal,Account Issue,Resolved,343,4,Satisfied,29,1,0
INT-0756,2026-07-16,Agent 019,Chat,Spain,Late Delivery,Resolved,472,3,Neutral,29,0,0
INT-0520,2026-07-16,Agent 014,Chat,Spain,Late Delivery,Not Resolved,262,2,Dissatisfied,29,0,1
INT-0044,2026-07-16,Agent 006,Call,Spain,Order Cancellation,Resolved,197,4,Satisfied,29,1,0
INT-0849,2026-07-16,Agent 017,Chat,Spain,Payment Issue,Resolved,548,4,Satisfied,29,1,0
INT-0159,2026-07-16,Agent 006,Email,Italy,Account Issue,Resolved,368,5,Satisfied,29,1,0
INT-0923,2026-07-16,Agent 001,Call,Spain,Order Cancellation,Resolved,517,5,Satisfied,29,1,0
